"","region.code","total_area","time.period","x"
"1","EA",4460625.83,"2000-2010","a"
"2","EU",932432.7677444,"2000-2010","a"
"3","LATAM",2917,"2000-2010","a"
"4","SA",51743.558824,"2000-2010","a"
"5","SSA",6639,"2000-2010","a"
"6","LATAM",859,"2011-2013","a"
"7","SA",1590,"2011-2013","a"
"8","SSA",709010,"2011-2013","a"
"9","EA",4460625.83,"2000-2019","b"
"10","EU",932432.7677444,"2000-2019","b"
"11","LATAM",3776,"2000-2019","b"
"12","SA",53333.558824,"2000-2019","b"
"13","SSA",715649,"2000-2019","b"
