Study ID,Team member,Author (last name of first author),Year published (>=2010),Journal,Title,DOI Link,Type of study ,"Name of initiative - larger umbrella initiative, not project (if other, add initiative)",Name of project,Implementing institution,World region ,Country ,Sub-national region (e.g. State/Province),Site name (text descr of site e.g. park name),latitude,longitude,Restoration status,Restoration Start Year,Ending Year,Area under restoration (if restoration began before 2000),Calculate area from 2000 (assuming linear),Area under restoration (original unit),Area (conversion factor),Total Area,Area (categorical),Total cost (number only in USD),Forest defined (Y/N),Definition of forest,(1) Tropical and Subtropical Moist Broadleaf Forests,(2) Tropical and Subtropical Dry Broadleaf Forests,(3) Tropical and Subtropical Coniferous Forests,(4) Temperate Broadleaf and Mixed Forests,(5) Temperate Coniferous Forests,(6) Boreal Forests/Taiga,"(7) Tropical and subtropical grasslands, savannas, and shrublands","(8) Temperate Grasslands, Savannas, and Shrublands",(9) Flooded Grasslands and Savannas,(10) Montane Grasslands and Shrublands,(11) Tundra,"(12) Mediterranean Forests, Woodlands, and Scrub",(13) Deserts and Xeric Shrublands,(14) Mangroves,(15) Wetlands,(1) Natural regeneration,(2) Assisted regeneration,(3) Regeneration unspecified,(4) Active ecological restoration,(5) Mixed timber species plantation,(6) Monoculture timber plantation,(7) Plantation and/or woodlot unspecified,"(8) Agroforestry (fruit, nut, oil palm, etc)",(9) Multistrata agroforestry (e.g. shade grown crops),(10 Tree intercropping agroforestry (trees in croplands >30%),(11) Silvopastoral systems (trees in pasture >30%),(12) Transitional land use (agroforestry as a transitional phase towards ecological restoration),(13) Afforestation (active planting in non-forest ecosystem e.g. natural grasslands),"Dominant restored species (if other, add scientific name)",Native or exotic species,Restored stand age (note number of years),"Survival rate (%, note number only)",(1) Agriculture unspecified,(2) Cropland,(3) Pasture/ Grazing lands,(4) Agro-silvo-pastoral system,(5) Shifting cultivation/fallow,(6) Aquaculture,(7) Tree monocrop/ Plantation,(8) Deforested (clear cut),(9) Degraded (selective logging),"(10) Land used for extractive activities (e.g. mining, oil & gas)",(11) Fire,"(12) Non-fire disturbance (e.g. landslide, hurricane)",(13) Marginal land and/or abandoned land,(14) Other,Unknown,Age of previous disturbance/ land use (note number of years),(1) Ecosystem function,(2) Water provision/quality,(3) Biodiversity and habitat recovery,(4) Ecological connectivity,(5) Elimination of exotic/ invasive species,(6) Carbon sequestration,(7) Soil fertility,"(8) Reduce risks (erosion, windbreaks, flood control)",(9) Reclamation (clean up and repair after extraction activities),(10) Regulatory,(11) Payment for ecosystem service,(12) Agroforestry/ commercial,(13) Local employment and enhacing livelihoods,(14) Recreation/ eco-tourism,(15) Other,Unknown,Biomass measured? y/n,Biomass change (+/-),Biomass value (Mg/ha),C sequestration measured? y/n,C sequestration change? +/-,C sequestration value (Mg/ha),Water quality measured (?),Water quality change? +/-,Water quality value,Biodiversity measured? y/n,Biodiversity change +/-,Biodiversity value,"Soil nutrients (SOC, N, P) measured? y/n","Soil nutrients (SOC, N, P) change? +/-","Soil nutrients (SOC, N, P) value",Other ecosystem function measured? (record function),Other ecosystem function change,Other ecosystem function value,Notes
30,Stephanie,"Romijn, J.E.",2018,CIAT/WUR project for USAID,Restoration Database for Latin America and the Caribbean. Comparative Research Project on Landscape Restoration for Emissions Reductions.,http://lucid.wur.nl/,Grey literature,CDM,Reforestation as Renewable Source of Wood Supplies for Industrial Use in Brazil,,LATAM (Latin America & Caribbean) ,Brazil,Minas Gerais,Municipality of Belo Horizonte (headquarters),-19.883195,-43.945996,Ongoing,2000,2030,,#N/A,11711,1,11711,"(3) 5000-20,000 ha / 50-200 km2",,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,exotic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,N,,,N,,,N,,,N,,,N,,,N,,,
145,Stephanie,IUCN,2019,IUCN Report ,The 2nd Bonn Challenge Progress Report. Application of the Barometer in 19 Bonn Challenge Countries in 2018,,Grey literature,,,,LATAM (Latin America & Caribbean) ,Brazil,Amazon states,Amazon,-3.462906,-62.216009,Unknown,2008,2014,,#N/A,9424802,1,9424802,"(5) >100,000 ha / >1000 km2",,Y,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,Y,positive,1.364 billion tCO2 (divided by 0.93 percent of total Brazil regen),,,,Y,,,,,,,,,"Information based on TerraClass database (Embrapa, 2011), conducted a permanency analysis to identify areas covered by secondary vegetation in the Amazon from 2008-2014"
170,Alice,Araujo Schneider,2018,Revista Árvore,Deforestation in mixed Ombrophilous Forest in the Serrana Region of Santa Catarina,10.1016/j.ecoser.2016.07.002,Other,,,Government,LATAM (Latin America & Caribbean) ,Brazil,São Paulo,Serrana Region,-21.221559,-47.61295,Project actions complete,2006,,,#N/A,345.8,1,345.8,(1) 100-1000 ha/ 1-10 km2 ,,Y,(3) - other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,unknown,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,,,N,,,N,,,N,,,N,,,N,,,
171,Alice,Audino,2013,Biological Conservation,Dung beetles as indicators of tropical forest restoration success: Is it possible to recover species and functional diversity?,10.1016/j.biocon.2013.11.023,Field,,,Company,LATAM (Latin America & Caribbean) ,Brazil,Bahia,south of Bahia,-16.101125,-39.407466,Ongoing success,2004,,,#N/A,4300,1,4300,(2) 1000-5000 ha / 10-50 km2,,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mixed species,native,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,N,,,N,,,N,,,Y,positive,,N,,,N,,,monitoring
174,Alice,Batisteli,2018,Diversity-Basel,Bird Functional Traits Respond to Forest Structure in Riparian Areas Undergoing Active Restoration,10.3390/d10030090,Field,,,,LATAM (Latin America & Caribbean) ,Brazil,Sao Paulo,Ribeirão do Feijão basin,-22.0833,-47.7833,Ongoing success,2006,,,#N/A,60,1,60,(0)<100 ha,(8) unknown,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,native,3-9 years,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,N,,,N,,,Y,positive,,N,,,N,,,
177,Alice,Bicudo da Silva,2016,The Professional Geographer,Land changes fostering Atlantic ForestTransition in Brazil: Evidence from the Paraíba Valley,10.1080/00330124.2016.1178151,Remote sensing,,,,LATAM (Latin America & Caribbean) ,Brazil,São Paulo,Paraíba Valley,-23.028736,-45.264754,Unknown,1995,2005,,0,899,1,899,(1) 100-1000 ha/ 1-10 km2 ,,Y,(3) - other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,,,N,,,N,,,N,,,N,,,N,,,"estimate was provided for 2000-2005, so used linear estimate for 1995-2000 then just added the 2000-2005 value the paper provided"
187,Alice,Corrêa,2015,Bioscience Journal,Floristic woody composition of revegetated mining sites in the Brazilian Federal District,10.14393/BJ-v31n3a2015-22986,Field,,,,LATAM (Latin America & Caribbean) ,Brazil,Federal District,,-15.73081,-47.76069,Project actions complete,2005,,,#N/A,143,1,143,(1) 100-1000 ha/ 1-10 km2 ,,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mixed species,native,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,N,,,N,,,N,,,Y,,,N,,,N,,,
189,Stephanie,Crouzeilles,2019,Perspectives in Ecology and Conservation,There is hope for achieving ambitious Atlantic Forest restoration commitments,10.1016/j.pecon.2019.04.003,Remote sensing,PACTO,,Multiple,LATAM (Latin America & Caribbean) ,Brazil,14 states,Atlantic Forest,-18.78732,-43.28533,Ongoing,2011,2015,,#N/A,373510,1,373510,"(5) >100,000 ha / >1000 km2",(8) unknown,Y,(3) - other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,native,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,N,,,N,,,N,,,N,,,N,,,N,,,"Remote sensing paper that used 5 criteria to assess restoration in Atlantic forest: ""To estimate the total amount of “restored forest” (defined here as native forests under either passive or active recovery that may not have yet reached the attributes of reference ecosystems)  between 2011 and 2017, we used a 30 m resolution land use and cover mapping product (“Mapbiomas”, version 3.0; http://mapbiomas.org/pages/database/mapbiomas_collection). The area should: (i) be previously classified as agriculture or pasture for at least five consecutive years; (ii) have at least five connected pixels also classified as restored forest; (iii) be classified as forest in 2017; (iv) be classified as forest for at least three consecutive years; and (v) should not be a commercial tree plantation. The Pact detected 906,452 ha of degraded/deforested lands under restoration from 2011 to 2015 (and maintained up to 2017) within the Atlantic Forest. The restored forest classification accuracy was 78%, with most misclassification arising from commercial tree plantations (14%) and old-growth forest (6%). On this basis we estimate that 673,510 and 740,555 ha of forest was restored between 2011 and 2015. A preliminary estimation performed with the Pact's database of restoration projects suggests that nearly 300,000 ha of restored forests have been established through active restoration interventions by its ?350 members."" Used conservative number of 673,510- 300k for natural regeneration, and 300k for active ecological restoration "
189,Stephanie,Crouzeilles,2019,Perspectives in Ecology and Conservation,There is hope for achieving ambitious Atlantic Forest restoration commitments,10.1016/j.pecon.2019.04.003,Remote sensing,PACTO,,Multiple,LATAM (Latin America & Caribbean) ,Brazil,14 states,Atlantic Forest,-26.828927,-49.644633,Ongoing,2011,2015,,#N/A,300000,1,300000,"(5) >100,000 ha / >1000 km2",(8) unknown,Y,(3) - other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,native,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,N,,,N,,,N,,,N,,,N,,,N,,,"Same as above, used the 300k active ecological restoration figure and put a different lat long in the atlantic forest"
191,Jake,de Paula,2016,Agroforestry Systems,The restoration of termite diversity in different reforestated forests,10.1007/s10457-015-9862-2,Field,,,Company,LATAM (Latin America & Caribbean) ,Brazil,Mato Grosso,São Nicolau Farm            ,-9.820797,-58.29576,Ongoing success,1999,2003,2500,1875,1875,1,1875,(2) 1000-5000 ha / 10-50 km2,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Tectona grandis and Ficus sp.,unknown,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Y,positive,,,,,,,,Restoration includes species other than those mentioned. Some of reforested area is silovpasture and natural regeneration.Tree planting occured between 1999-2003. Biodiversity measured was termite species. Farm is owned by ONF-Peugeot. 
