"","region.code","total_area","time.period","x"
"1","EA",5057154.28,"2000-2010","a"
"2","EU",392593.9240197,"2000-2010","a"
"3","LATAM",9721434.593077,"2000-2010","a"
"4","NA",370187.3,"2000-2010","a"
"5","OC",4652.7,"2000-2010","a"
"6","SA",82914.3358824,"2000-2010","a"
"7","SEA",2477788,"2000-2010","a"
"8","SSA",29714,"2000-2010","a"
"9","EA",1110,"2011-2013","a"
"10","LATAM",754387.95,"2011-2013","a"
"11","NA",1427000,"2011-2013","a"
"12","SA",9700,"2011-2013","a"
"13","LATAM",235647.72,"2014-2019","a"
"14","EA",5058264.28,"2000-2019","b"
"15","EU",392593.9240197,"2000-2019","b"
"16","LATAM",10711533.263077,"2000-2019","b"
"17","NA",1797187.3,"2000-2019","b"
"18","OC",4652.7,"2000-2019","b"
"19","SA",92614.3358824,"2000-2019","b"
"20","SEA",2481430,"2000-2019","b"
"21","SSA",29714,"2000-2019","b"
